ID,Observed capability and evidence,Proposed destination,Required parity check,Risk if omitted (inference),Slice,Design status,Implementation status,Implementation reference,Role and fixture,Desktop result,Mobile result,Mutation or permission result,Evidence link
P01,"Contact route, client route wrapper, return links and incoming follow-up context. S: A, J. B: QA contact entry.",Same routes; Back to Contacts/Clients; resolve task context before defaulting to Record.,Existing contact/client URLs and follow-up links resolve the same authorized entity; wrong division retains current redirect behavior. Preserve originating directory state per P50.,Broken queue links or operators returning to the wrong list.,S1,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P02,"Name, division, workflow-specific identity, role-aware global navigation. S: A, B, J. B.",One header; existing global navigation and division context.,"USA student labels never appear on Signs clients. Preserve company/contact-person distinctions, existing bottom navigation, and permission-aware destinations.",Work performed in the wrong division or navigation becoming unreachable.,S1,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P03,"Name, email, primary phone; phone and email launch links; missing-channel states; identity editing. S: A. B.",Contact section; Edit contact.,"Read and edit all identity fields, including clearing/normalization behavior. Keep tel/mailto destinations and restrictions visible; do not turn them into CRM provider-send actions.",Lost ways to reach or correct the person.,"S1, S3",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P04,"Historical nonprimary phones, wrong-number/DNC warnings, history-only labels, load/error handling. GET-only phone history endpoint. S: A, K. T.","Contact → Phone history disclosure, with restrictions adjacent to relevant numbers.",Display retained numbers and their warnings without promoting them to primary or offering unsupported add/remove actions. Failed history load is distinguishable from none.,Staff may dial a known bad number or assume history was deleted.,S1,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P05,"Last contact/touch and last edited timestamps. S: A, B. B.","Clearly labeled metadata in Contact/Activity, each with one main display.","Preserve both meanings, available values, formatting and missing states. Do not substitute contact creation time for a missing event date.",Staff lose confidence about recency or repeat recent outreach.,S1,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P06,"Workflow title, next-action guidance, chips/tags, contactability reasons, program/course/outcome highlights. S: A, B. B.","Facts move to Contact, Opportunity or Enrollments; task guidance moves to task band.",Every underlying fact remains accessible with its correct meaning. Distinguish inferred/legacy course text from actual enrollments. Do not retain redundant summary boxes solely to preserve their layout.,Important restrictions or relationship state disappear during decluttering.,"S1, S2",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P07,"Cleanup/merge provenance summary, retained aliases/phone context, source event details, restricted import-review context. S: A, B.",Contact provenance disclosure and Activity → Source details.,Preserve available provenance and existing access checks; keep source-event raw detail distinct from editable profile fields. Do not expose restricted cleanup summaries to new roles.,Staff cannot explain prior consolidation or may leak restricted audit context.,"S1, S5",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P08,"Editable Source selector; existing PATCH couples selected lead source and contact label when a lead exists, and contact-only source correction is supported without a lead. S: A, C, profile payload builder. B: 27 covers selected-lead editor only.",Header Edit contact → Contact source; Current inquiry → Edit → Source → Inquiry source.,"Preserve authorized correction, current/custom options and clearing for contact-only and selected-opportunity cases. P51 intentionally replaces coupled writes with independently scoped server contracts. Original submission events stay unchanged. No forced opportunity creation.",The prior read-only proposal would remove an existing attribution-correction capability.,S1 source-scope extension,Mapped,Implemented locally,"src/app/api/contacts/route.js; src/app/contacts/[id]/page.js",Focused source/bootstrap tests,Not exercised,Not exercised,Not exercised,
P09,"Student location and intended learning location are distinct editable values; Signs address has different semantics. S: A, C, D. B: 27.",Student location in Inquiry details; intended learning location in Edit contact.,Student location maps to lead locationPreference; USA learning location to contact address through existing helpers. Preserve options/current values and Signs address semantics.,Routing or location data could be overwritten or mislabeled.,"S1, S3",Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
P10,"Nine lead-profile fields, including less prominent Test, Level, School, Source Detail and Details. S: A, D. B: 26.",Inquiry details; sourceDetail in Source. Secondary qualifications use an explicit disclosure if needed.,"Preserve all nine fields in the field ledger, free-text values and clearing. Editable Level is not replaced by read-only placement evidence.",Qualification and contextual information becomes impossible to maintain.,S3,Mapped,Not implemented,,,Not exercised,Not exercised,Not exercised,
