bucket,recommendedBucket,sourceSheet,sourceRowNumber,reviewType,customerName,contactName,workDescription,reason
normalized_note_pending,follow_up_note_attach_or_hold,2. ESTIMADOS,52,,PAVEMENT SPECIAL,JHON,100 INVOICE ORIGINAL Y COPIA FULL COLOR CON LA INFORMACION QUE ESTA EN SU BUSSINESS CAR WASHINGTON,Parent evidence exists but exact promoted-note event does not.
normalized_note_pending,follow_up_note_attach_or_hold,3. 15 SIGNS WORK ORDER,122,,PHT CONTRACTOR,MARIO,"12 YARD 24"" X 16"" + 12 STEPS STICK, CAMBIO DE COLOR",Parent evidence exists but exact promoted-note event does not.
normalized_note_pending,follow_up_note_attach_or_hold,WORK ORDER TERMINADOS Y PAGADOS,1538,,BLUE MOUNTAIN,FELIX,BANER 10 FT X 4 FT IGUAL A LA FOTO ENVIADA PERO AGREGAR NOW OFFERING POOL SERVICES Y UNA FORTP PISCINAS AL LADO,Parent evidence exists but exact promoted-note event does not.
review_item_only,identityless_financial_line,2. ESTIMADOS,139,financial_line,,,,Financial/context line without enough customer identity to attach safely. Source parser reason: Missing customer/contact/phone identity: GRAN TOTAL | 3004.059935 | 0 | 3004.059935 | 2605.282435
review_item_only,identityless_financial_line,3. 15 SIGNS WORK ORDER,3,financial_line,,,,Financial/context line without enough customer identity to attach safely. Source parser reason: WEB PAGE & DIGITAL ADS | Llama o Text 732-379-0593 | LISTO PARA ENTREGAR | 270.4 | 288.31
review_item_only,identityless_financial_line,3. 15 SIGNS WORK ORDER,270,financial_line,,,,Financial/context line without enough customer identity to attach safely. Source parser reason: Missing customer/contact/phone identity: 253 | 35283.53983 | 11521.09 | 23762.44983 | 6513.777325
review_item_only,identityless_financial_line,Sheet12,6,financial_line,,,,Financial/context line without enough customer identity to attach safely. Source parser reason: ESTAMPADOS 10 POLOS Y 8 HOODIES | 162 | 10.7325 | 172.7325
review_item_only,identityless_financial_line,Sheet12,7,financial_line,,,,"Financial/context line without enough customer identity to attach safely. Source parser reason: 200 HOJAS AMBOS LADOS  8.5 X 11"" | 350.0 | 23.1875 | 373.1875"
review_item_only,loose_follow_up_or_context_text,1. INTERESADOS,41,misc_text,,,,"Loose workbook text that may be follow-up/context, not a structured CRM record. Source parser reason: 13 | 215 681 6461"
review_item_only,loose_follow_up_or_context_text,1. INTERESADOS,42,misc_text,,,,"Loose workbook text that may be follow-up/context, not a structured CRM record. Source parser reason: 13.0 | 609 847 8395"
review_item_only,loose_follow_up_or_context_text,1. INTERESADOS,55,misc_text,,,,"Loose workbook text that may be follow-up/context, not a structured CRM record. Source parser reason: 20 | LLEGO A AIT | 45363.0 | MARIA JOSE | 908 255 8983 | QUIERE CAMISAS | NUMERO EQUIVOCADO"
review_item_only,loose_follow_up_or_context_text,2. ESTIMADOS,83,misc_text,,,,"Loose workbook text that may be follow-up/context, not a structured CRM record. Source parser reason: 73 | 46111.0 | XTREEM KLEEN | MIKE | PROPUESTA 1 | 0 | 0 | 0"
review_item_only,loose_follow_up_or_context_text,2. ESTIMADOS,84,misc_text,,,,"Loose workbook text that may be follow-up/context, not a structured CRM record. Source parser reason: 74 | 46111.0 | XTREEM KLEEN | MIKE | PROPUESTA 2 | 0 | 0 | 0"
